Latitude[deg],Longitude[deg]
42.27711151354014873504638671875,-8.7789390049874782562255859375
42.27715082466602325439453125,-8.778926767408847808837890625
42.2771912254393100738525390625,-8.778915368020534515380859375
42.27723271586000919342041015625,-8.7789063155651092529296875
42.277274541556835174560546875,-8.77889701165258884429931640625
42.277316786348819732666015625,-8.77888686954975128173828125
42.277359701693058013916015625,-8.77887454815208911895751953125
42.27740320377051830291748046875,-8.7788602150976657867431640625
42.2774446941912174224853515625,-8.77884537912905216217041015625
42.27748618461191654205322265625,-8.77882878296077251434326171875
42.27752692066133022308349609375,-8.77880916930735111236572265625
42.277566231787204742431640625,-8.77878670580685138702392578125
42.27760571055114269256591796875,-8.7787616439163684844970703125
42.2776475362479686737060546875,-8.77873557619750499725341796875
42.27768433280289173126220703125,-8.77869953401386737823486328125
42.27771836332976818084716796875,-8.7786577083170413970947265625
42.27775390259921550750732421875,-8.77861353568732738494873046875
42.2777863405644893646240234375,-8.77856634557247161865234375
42.27782146073877811431884765625,-8.77852032892405986785888671875
42.27785867638885974884033203125,-8.7784759886562824249267578125
42.2778956405818462371826171875,-8.77843357622623443603515625
42.27793402969837188720703125,-8.7783971987664699554443359375
42.2779749333858489990234375,-8.77836459316313266754150390625
42.27801675908267498016357421875,-8.77833592705428600311279296875
42.2780607640743255615234375,-8.77830860204994678497314453125
42.27810443378984928131103515625,-8.77828177995979785919189453125
42.2781474329531192779541015625,-8.77825646661221981048583984375
42.278190515935420989990234375,-8.778228051960468292236328125
42.27823301218450069427490234375,-8.77819779329001903533935546875
42.278271652758121490478515625,-8.77816745080053806304931640625
42.27830945514142513275146484375,-8.778136856853961944580078125
42.27834382094442844390869140625,-8.7781014852225780487060546875
42.27837651036679744720458984375,-8.77806334756314754486083984375
42.278409115970134735107421875,-8.77802160568535327911376953125
42.2784394584596157073974609375,-8.777979277074337005615234375
42.2784709744155406951904296875,-8.77793644554913043975830078125
42.2785028256475925445556640625,-8.77789386548101902008056640625
42.27853207848966121673583984375,-8.777850531041622161865234375
42.2785601578652858734130859375,-8.77780786715447902679443359375
42.2785849682986736297607421875,-8.77776478417217731475830078125
42.27861019782721996307373046875,-8.77772371284663677215576171875
42.27863542735576629638671875,-8.7776870839297771453857421875
42.278663255274295806884765625,-8.7776585854589939117431640625
42.27869384922087192535400390625,-8.77764056436717510223388671875
42.278724610805511474609375,-8.77763134427368640899658203125
42.27875319309532642364501953125,-8.77762581221759319305419921875
42.2787784226238727569580078125,-8.77762296237051486968994140625
42.27880348451435565948486328125,-8.77762028016149997711181640625
42.278828211128711700439453125,-8.77761675976216793060302734375
42.2788498364388942718505859375,-8.77761508338153362274169921875
42.27887104265391826629638671875,-8.77761541865766048431396484375
42.278893254697322845458984375,-8.777615837752819061279296875
42.2789135389029979705810546875,-8.77761592157185077667236328125
42.2789356671273708343505859375,-8.77761592157185077667236328125
42.27895922027528285980224609375,-8.7776136584579944610595703125
42.278983108699321746826171875,-8.77761055715382099151611328125
42.27900599129498004913330078125,-8.777607791125774383544921875
42.27902845479547977447509765625,-8.77760536037385463714599609375
42.27905041538178920745849609375,-8.777603767812252044677734375
42.279072292149066925048828125,-8.77760116942226886749267578125
42.2790932469069957733154296875,-8.7775989063084125518798828125
42.27911529131233692169189453125,-8.77759781666100025177001953125
42.2791375033557415008544921875,-8.77759429626166820526123046875
